ISO3,Country,Residence Type,Service Type,Year,Coverage,Population,Service level
IRQ,Iraq,total,Drinking water,2016,2.45837,900024.81184,Surface water
IRQ,Iraq,total,Sanitation,2016,2.75163,1007390.75588,Unimproved
IRQ,Iraq,total,Drinking water,2016,1.37766,504370.43626,Unimproved
JAM,Jamaica,total,Sanitation,2016,86.07017,2501407.35852,At least basic
JAM,Jamaica,total,Drinking water,2016,90.56121,2631927.93904,At least basic
JAM,Jamaica,total,Sanitation,2016,12.6455,367508.699,Limited service
JAM,Jamaica,total,Drinking water,2016,5.40336,157034.78591,Limited service
JAM,Jamaica,total,Sanitation,2016,0.80138,23290.05507,Open defecation
JAM,Jamaica,total,Drinking water,2016,1.94148,56423.97024,Surface water
JAM,Jamaica,total,Sanitation,2016,0.48296,14035.91996,Unimproved
JAM,Jamaica,total,Drinking water,2016,2.09396,60855.40115,Unimproved
JOR,Jordan,total,Sanitation,2016,15.911,1520182.70629,Basic service
JOR,Jordan,total,Drinking water,2016,21.94738,2096915.12891,Basic service
JOR,Jordan,total,Sanitation,2016,1.55418,148491.13417,Limited service
JOR,Jordan,total,Drinking water,2016,0.15107,14433.93607,Limited service
JOR,Jordan,total,Sanitation,2016,0.11041,10548.47854,Open defecation
JOR,Jordan,total,Sanitation,2016,81.48468,7785279.72212,Safely managed service
JOR,Jordan,total,Drinking water,2016,77.0465,7361243.26395,Safely managed service
JOR,Jordan,total,Drinking water,2016,0.05964,5697.75206,Surface water
JOR,Jordan,total,Sanitation,2016,0.93972,89783.95879,Unimproved
JOR,Jordan,total,Drinking water,2016,0.79541,75995.91835,Unimproved
KAZ,Kazakhstan,total,Sanitation,2016,97.80582,17439659.31716,At least basic
KAZ,Kazakhstan,total,Drinking water,2016,7.53509,1343574.60427,Basic service
KAZ,Kazakhstan,total,Sanitation,2016,2.04065,363866.37798,Limited service
KAZ,Kazakhstan,total,Drinking water,2016,1.87689,334666.80758,Limited service
KAZ,Kazakhstan,total,Sanitation,2016,0,0,Open defecation
KAZ,Kazakhstan,total,Drinking water,2016,87.68541,15635100.41338,Safely managed service
KAZ,Kazakhstan,total,Drinking water,2016,0.16766,29895.2853,Surface water
KAZ,Kazakhstan,total,Sanitation,2016,0.15353,27376.17041,Unimproved
KAZ,Kazakhstan,total,Drinking water,2016,2.73494,487664.89018,Unimproved
LBN,Lebanon,total,Sanitation,2016,79.91942,5366014.74526,Basic service
LBN,Lebanon,total,Drinking water,2016,44.40579,2981529.19187,Basic service
LBN,Lebanon,total,Sanitation,2016,0.76816,51576.62988,Limited service
LBN,Lebanon,total,Drinking water,2016,7.31855,491387.88469,Limited service
LBN,Lebanon,total,Sanitation,2016,0.12221,8205.38,Open defecation
LBN,Lebanon,total,Sanitation,2016,15.3328,1029487.36043,Safely managed service
LBN,Lebanon,total,Drinking water,2016,47.17497,3167459.74331,Safely managed service
LBN,Lebanon,total,Drinking water,2016,0.14542,9763.90743,Surface water
LBN,Lebanon,total,Sanitation,2016,3.8574,258996.88438,Unimproved
LBN,Lebanon,total,Drinking water,2016,0.95528,64140.27257,Unimproved
LBY,Libya,total,Drinking water,2016,98.15159,6372158.16407,At least basic
LBY,Libya,total,Sanitation,2016,70.48823,4576208.52929,Basic service
LBY,Libya,total,Sanitation,2016,7.14602,463931.19239,Limited service
LBY,Libya,total,Drinking water,2016,0,0,Limited service
LBY,Libya,total,Sanitation,2016,0.74969,48671.21635,Open defecation
LBY,Libya,total,Sanitation,2016,21.61606,1403349.06131,Safely managed service
LBY,Libya,total,Drinking water,2016,0,0,Surface water
LBY,Libya,total,Sanitation,2016,0,0,Unimproved
LBY,Libya,total,Drinking water,2016,1.84842,120002.07835,Unimproved
LCA,Saint Lucia,total,Sanitation,2016,83.10352,149609.59712,At least basic
LCA,Saint Lucia,total,Drinking water,2016,96.00804,172841.35674,At least basic
LCA,Saint Lucia,total,Sanitation,2016,10.29475,18533.435,Limited service
LCA,Saint Lucia,total,Drinking water,2016,1.79841,3237.64414,Limited service
LCA,Saint Lucia,total,Sanitation,2016,6.36491,11458.62107,Open defecation
LCA,Saint Lucia,total,Drinking water,2016,0,0,Surface water
LCA,Saint Lucia,total,Sanitation,2016,0.23682,426.34272,Unimproved
LCA,Saint Lucia,total,Drinking water,2016,2.19355,3949.00113,Unimproved
MDV,Maldives,total,Sanitation,2016,95.06129,452021.17242,At least basic
MDV,Maldives,total,Drinking water,2016,99.11409,471292.45351,At least basic
MDV,Maldives,total,Sanitation,2016,0.75832,3605.86972,Limited service
MDV,Maldives,total,Drinking water,2016,0.09389,446.45424,Limited service
MDV,Maldives,total,Sanitation,2016,0,0,Open defecation
MDV,Maldives,total,Drinking water,2016,0,0,Surface water
MDV,Maldives,total,Sanitation,2016,4.18039,19877.94745,Unimproved
MDV,Maldives,total,Drinking water,2016,0.79202,3766.07704,Unimproved
MEX,Mexico,total,Sanitation,2016,41.93404,51718666.60858,Basic service
MEX,Mexico,total,Drinking water,2016,55.95608,69012528.69508,Basic service
MEX,Mexico,total,Sanitation,2016,6.75647,8332978.94964,Limited service
MEX,Mexico,total,Drinking water,2016,0,0,Limited service
MEX,Mexico,total,Sanitation,2016,1.82628,2252413.76152,Open defecation
MEX,Mexico,total,Sanitation,2016,47.69541,58824363.26434,Safely managed service
MEX,Mexico,total,Drinking water,2016,42.49678,52412720.7747,Safely managed service
